window_end_ts,p50_ingest_ms,p95_ingest_ms,p50_feature_ms,p95_feature_ms
2025-08-16T21:11:29.541728+00:00,0.07,0.14,30066.71,57027.09
2025-08-16T21:11:30.549563+00:00,0.07,0.14,30033.19,57010.23
2025-08-16T21:11:31.552354+00:00,0.07,0.14,29991.84,57006.92
2025-08-16T21:11:32.544209+00:00,0.07,0.14,29997.56,57002.73
2025-08-16T21:11:33.547857+00:00,0.07,0.14,29980.43,56997.55
2025-08-16T21:11:34.547899+00:00,0.07,0.15,29958.96,57020.42
2025-08-16T21:11:35.551145+00:00,0.07,0.15,29950.76,57028.2
2025-08-16T21:11:36.547969+00:00,0.07,0.15,29944.19,57029.18
2025-08-16T21:11:37.548011+00:00,0.07,0.15,29936.68,57021.76
2025-08-16T21:11:38.552594+00:00,0.07,0.14,29945.53,57034.22
2025-08-16T21:11:39.548071+00:00,0.06,0.14,29933.29,57023.56
2025-08-16T21:11:40.551004+00:00,0.06,0.14,29933.94,57027.04
2025-08-16T21:11:41.549928+00:00,0.06,0.14,29937.63,57017.46
2025-08-16T21:11:42.550531+00:00,0.06,0.14,29939.99,57013.16
2025-08-16T21:11:43.551286+00:00,0.06,0.14,29953.48,57034.38
2025-08-16T21:11:44.551325+00:00,0.06,0.14,29959.41,57053.27
2025-08-16T21:11:45.549991+00:00,0.06,0.15,29944.09,57045.37
2025-08-16T21:11:46.551338+00:00,0.06,0.14,29948.42,57020.51
2025-08-16T21:11:47.550017+00:00,0.06,0.14,29960.04,57006.5
2025-08-16T21:11:48.552789+00:00,0.06,0.14,29970.29,57028.84
2025-08-16T21:11:49.552807+00:00,0.06,0.14,29970.02,57033.38
2025-08-16T21:11:50.548308+00:00,0.06,0.14,29948.18,57008.09
2025-08-16T21:11:51.551186+00:00,0.06,0.14,29976.98,57001.57
2025-08-16T21:11:52.548340+00:00,0.06,0.15,29983.99,56967.6
2025-08-16T21:11:53.550524+00:00,0.06,0.15,30011.42,56975.11
2025-08-16T21:11:54.550103+00:00,0.06,0.15,30016.67,56992.55
2025-08-16T21:11:55.550083+00:00,0.06,0.15,30028.23,57007.11
2025-08-16T21:11:56.545451+00:00,0.06,0.15,30048.35,57030.31
2025-08-16T21:11:57.550159+00:00,0.06,0.15,30061.27,56997.74
2025-08-16T21:11:58.548970+00:00,0.06,0.15,30056.31,56962.17
2025-08-16T21:11:59.552941+00:00,0.06,0.15,30056.9,56960.28
2025-08-16T21:12:00.548442+00:00,0.06,0.15,30059.14,56953.65
2025-08-16T21:12:01.550769+00:00,0.06,0.16,30092.3,56968.18
2025-08-16T21:12:02.550800+00:00,0.06,0.15,30079.09,56957.07
2025-08-16T21:12:03.550789+00:00,0.06,0.15,30071.26,56969.36
2025-08-16T21:12:04.546501+00:00,0.06,0.15,30104.02,57001.29
2025-08-16T21:12:05.550414+00:00,0.06,0.15,30103.62,57009.8
2025-08-16T21:12:06.550170+00:00,0.06,0.16,30105.13,57014.77
2025-08-16T21:12:07.546109+00:00,0.06,0.16,30115.56,56997.8
2025-08-16T21:12:08.546585+00:00,0.06,0.16,30125.98,57000.79
2025-08-16T21:12:09.551438+00:00,0.06,0.16,30141.28,57013.48
2025-08-16T21:12:10.545605+00:00,0.06,0.16,30122.9,57016.64
2025-08-16T21:12:11.548554+00:00,0.06,0.16,30110.17,57020.27
2025-08-16T21:12:12.548558+00:00,0.06,0.16,30105.77,57019.64
2025-08-16T21:12:13.544877+00:00,0.06,0.17,30091.65,57029.64
2025-08-16T21:12:14.542951+00:00,0.06,0.16,30096.04,57037.27
2025-08-16T21:12:15.550851+00:00,0.06,0.17,30134.46,57042.08
2025-08-16T21:12:16.542277+00:00,0.06,0.17,30116.11,57017.31
2025-08-16T21:12:17.545598+00:00,0.06,0.17,30092.62,56992.99
2025-08-16T21:12:18.550304+00:00,0.06,0.17,30092.35,57019.74
2025-08-16T21:12:19.548619+00:00,0.06,0.17,30092.64,57037.68
2025-08-16T21:12:20.551093+00:00,0.06,0.2,30117.48,57069.29
2025-08-16T21:12:21.550338+00:00,0.06,0.21,30090.32,57048.75
2025-08-16T21:12:22.542489+00:00,0.06,0.19,30077.96,57048.24
2025-08-16T21:12:23.545599+00:00,0.06,0.2,30064.7,57044.92
2025-08-16T21:12:24.548658+00:00,0.06,0.2,30069.15,57046.8
2025-08-16T21:12:25.551471+00:00,0.06,0.2,30080.21,57016.8
2025-08-16T21:12:26.551814+00:00,0.06,0.21,30066.62,57022.49
2025-08-16T21:12:27.544971+00:00,0.06,0.21,30036.4,57009.45
2025-08-16T21:12:28.551458+00:00,0.06,0.21,30031.76,57035.56
2025-08-16T21:12:29.087283+00:00,0.06,0.21,29815.08,56579.76
